Search terms report
01 May 2017 - 22 May 2019
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Currency code,Cost,Campaign type,All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,Cross-device conv.,View-through Conv.,CTR,Clicks,Keyword
far infrared sauna,Exact match,Added,Far Infrared Saunas,Far Infrared Sauna,"44,459",USD,8275.98,Search,13.93,593.56,0.54%,"2,999.00",0.36,1.17,215.24,2.00,0,5.78%,"2,570", +far +infrared +sauna
celebration big bang sauna,Phrase match,None, --- RLSAs ---,RSLAs,1,USD,2.54,Search,2.00,1.27,200.00%,"1,780.00",700.79,"1,780.00",890.00,2.00,0,100.00%,1,sauna
ceder infrared sauna,Broad match,None,Dynamic Search Ads,DSAs,1,USD,2.92,Search,2.00,1.46,200.00%,0.00,0.00,0.00,0.00, --,0,100.00%,1,
3 person sauna,Exact match,Added,3 Person Saunas,3 Person Sauna,"1,091",USD,145.86,Search,4.80,30.39,6.86%,"1,470.00",10.08,21.00,306.25, --,0,6.42%,70, +3 person +sauna
low elf saunas,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,1,USD,4.22,Search,2.00,2.11,200.00%,760.00,180.09,760.00,380.00, --,0,100.00%,1,infrared saunas
celebrations sauna,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,8,USD,5.12,Search,1.50,3.41,25.00%,445.00,86.91,74.17,296.67,0.50,0,75.00%,6,infrared saunas
1 person home sauna,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,1,USD,2.10,Search,2.00,1.05,200.00%,0.00,0.00,0.00,0.00,2.00,0,100.00%,1,infrared steam sauna
pure life energy saunas,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,8,USD,10.74,Search,3.00,3.58,50.00%,0.00,0.00,0.00,0.00, --,0,75.00%,6,sauna infared
sauna infrared,Exact match (close variant),None,Infrared Saunas - Generic,Infrared Saunas - Generic,326,USD,99.82,Search,3.00,33.27,10.34%,362.00,3.63,12.48,120.67, --,0,8.90%,29,[infrared sauna]
infrared sauna,Exact match (close variant),None,Infrared Saunas - Exact,Infrared Saunas Exact,"31,099",USD,5162.31,Search,3.00,1720.77,0.19%,684.00,0.13,0.44,228.00,1.00,0,5.00%,"1,555",[infrared saunas]
backcountry saunas,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,1,USD,3.07,Search,4.00,0.77,400.00%,362.00,117.92,362.00,90.50, --,0,100.00%,1,infrared saunas
saunas,Exact match,Added,Infrared Saunas - Generic,Infrared Saunas - Generic,"17,757",USD,2136.15,Search,5.00,427.23,0.68%,702.00,0.33,0.96,140.40, --,0,4.11%,730,[saunas]
celebrationsaunas com,Broad match,None,* Branded *,Branded,14,USD,9.10,Search,3.00,3.03,30.00%,322.00,35.38,32.20,107.33, --,0,71.43%,10,celebration sauna
celebration saunas pulsar 3 person,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,1,USD,19.82,Search,2.00,9.91,200.00%,0.00,0.00,0.00,0.00, --,0,100.00%,1,infrared saunas
thermal life sauna,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,24,USD,18.55,Search,6.00,3.09,120.00%,"1,950.00",105.12,390.00,325.00, --,0,20.83%,5,infrared saunas
hhttps celebrationsaunas com product category 0 ultra low emf saunas full spectrum,Phrase match (close variant),None,Low EMF Saunas,Infrared Sauna Low EMF,1,USD,5.86,Search,5.00,1.17,500.00%,"6,237.50","1,064.42","6,237.50","1,247.50",4.00,0,100.00%,1, +low +emf +sauna
celebration saunas any good,Phrase match (close variant),None, --- RLSAs ---,RSLAs,1,USD,3.65,Search,2.00,1.83,200.00%,0.00,0.00,0.00,0.00, --,0,100.00%,1,sauna
buy infrared sauna,Broad match,None,Buy Infrared Sauna,Buy Sauna,141,USD,252.03,Search,6.00,42.01,12.24%,"1,202.00",4.77,24.53,200.33,2.00,0,34.75%,49, +buy +sauna
europa 3 person infrared,Broad match,None,Infrared Saunas - Generic,Infrared Saunas - Generic,3,USD,2.88,Search,2.00,1.44,200.00%,0.00,0.00,0.00,0.00, --,0,33.33%,1,infrared saunas
armana infra red sauna,Phrase match (close variant),None,Infrared Saunas - Generic,Infrared Saunas - Generic,1,USD,3.63,Search,3.00,1.21,300.00%,890.00,245.18,890.00,296.67, --,0,100.00%,1,infrared saunas
saunas,Broad match,Added,Infrared Saunas - Generic,Infrared Saunas - Generic,559,USD,91.11,Search,2.00,45.56,7.69%,362.00,3.97,13.92,181.00, --,0,4.65%,26,sauna infared
american sale saunas,Broad match,None,Sauna Sale,Saunas For Sale,1,USD,1.44,Search,5.00,0.29,500.00%,"1,045.00",725.69,"1,045.00",209.00, --,0,100.00%,1, +sauna +sale
golden design sauna,Exact match,None,Dynamic Search Ads,DSAs,29,USD,10.82,Search,2.00,5.41,100.00%,0.00,0.00,0.00,0.00, --,0,6.90%,2,
